NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600,0.25,3.625,6.5,5,8,0.625,1.00,3.31,2.38,2.88,1.88,2.067,3.38,2.75,0.175,2.19,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,600,0.25,4.125,7.5,5.88,8,0.75,1.12,3.94,2.88,3.12,2,2.469,3.88,3.25,0.175,2.59,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600,0.25,5,8.25,6.62,8,0.75,1.25,4.62,3.5,3.25,2,3.068,4.75,4,0.175,3.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,600,0.25,5.5,9,7.25,8,0.875,1.38,5.25,4,3.38,2,3.548,,,,3.67,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,600,0.25,6.188,10.75,8.5,8,0.875,1.5,6,4.5,4,2.5,4.026,5.88,4.75,0.175,4.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600,0.25,7.312,13,10.5,8,1,1.75,7.44,5.56,4.5,2.75,5.047,7,5.81,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,600,0.25,8.5,14,11.5,12,1,1.88,8.75,6.63,4.62,2.74,6.065,8.25,6.88,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,600,0.25,10.625,16.5,13.75,12,1.125,2.19,10.75,8.63,5.25,3.06,7.981,10.38,8.88,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,600,0.25,12.75,20,17,16,1.25,2.5,13.5,10.75,6,3.5,10.020,12.5,10.81,0.175,10.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,600,0.25,15,22,19.25,20,1.25,2.62,15.75,12.75,6.12,3.5,12.000,14.75,12.88,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,600,0.25,16.25,23.75,20.75,20,1.375,2.75,17,14,6.5,3.75,13.250,16,14.25,0.175,13.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
16,600,0.25,18.5,27,23.75,20,1.5,3,19.5,16,7,4,15.250,18.25,16.25,0.175,15.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,600,0.25,21,29.25,25.75,20,1.625,3.25,21.5,18,7.25,4,17.250,20.75,18.5,0.175,17.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,600,0.25,23,32,28.5,24,1.625,3.5,24,20,7.5,4,19.250,22.75,20.5,0.175,19.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
22,600,0.25,25.25,34.25,30.625,24,1.75,3.75,26.25,22,7.75,4,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,600,0.25,27.25,37,33,24,1.875,4,28.25,24,8,4,23.250,27,24.75,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,600,0.25,29.5,40,36,28,1.875,4.25,29.44,26,8.75,4.5,25.250,29,27,0.175,25.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
28,600,0.25,31.5,42.25,38,28,2,4.38,31.62,28,9.25,4.87,27.250,31,29,0.175,27.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
30,600,0.25,33.75,44.5,40.25,28,2,4.5,33.94,30,9.75,5.25,29.250,33.25,31.25,0.175,29.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
32,600,0.25,36,47,42.5,28,2.25,4.62,36.12,32,10.25,5.63,31.250,35.5,33.5,0.175,31.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
34,600,0.25,38,49,44.5,28,2.25,4.75,38.31,34,10.62,5.87,33.250,37.5,35.5,0.175,33.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
36,600,0.25,40.25,51.75,47,28,2.5,4.88,40.62,36,11.12,6.24,35.250,39.63,37.63,0.175,35.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
38,600,0.25,41.5,50,45.75,28,2.25,6,40.25,38,10,4,37.250,41,39,0.175,37.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
40,600,0.25,43.75,52,47.75,32,2.25,6.25,42.25,40,10.38,4.13,39.250,43.25,41.25,0.175,39.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
42,600,0.25,46,55.25,50.5,28,2.5,6.62,44.38,42,11,4.38,41.250,45.5,43.5,0.175,41.38,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,
44,600,0.25,48.25,57.25,52.5,32,2.5,6.81,46.5,44,11.38,4.57,43.250,47.75,45.75,0.175,43.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
46,600,0.25,50.25,59.5,54.75,32,2.5,7.06,48.62,46,11.81,4.75,45.250,49.75,47.75,0.175,45.38,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,
48,600,0.25,52.5,62.75,57.25,32,2.75,7.44,50.75,48,12.44,5,47.250,52,50,0.175,47.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
