NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,300,0.0625,3.625,6.5,5,8,0.625,0.81,3.31,2.38,2.69,1.88,2.067,3.38,2.75,0.175,2.19,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,300,0.0625,4.125,7.5,5.88,8,0.75,0.94,3.94,2.88,2.94,2,2.469,3.88,3.25,0.175,2.59,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,300,0.0625,5,8.25,6.62,8,0.75,1.06,4.62,3.5,3.06,2,3.068,4.75,4,0.175,3.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,300,0.0625,5.5,9,7.25,8,0.75,1.12,5.25,4,3.13,2.01,3.548,,,,3.67,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,300,0.0625,6.188,10,7.88,8,0.75,1.19,5.75,4.5,3.32,2.13,4.026,5.88,5,0.175,4.15,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
5,300,0.0625,7.312,11,9.25,8,0.75,1.31,7,5.56,3.82,2.51,5.047,7,6.13,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,300,0.0625,8.5,12.5,10.62,12,0.75,1.38,8.12,6.63,3.82,2.44,6.065,8.25,7.19,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,300,0.0625,10.625,15,13,12,0.875,1.56,10.25,8.63,4.32,2.76,7.981,10.38,9.19,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,300,0.0625,12.75,17.5,15.25,16,1,1.81,12.62,10.75,4.56,2.75,10.020,12.5,11.31,0.175,10.15,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,
12,300,0.0625,15,20.5,17.75,16,1.125,1.94,14.75,12.75,5.06,3.12,12.000,14.75,13.38,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,300,0.0625,16.25,23,20.25,20,1.125,2.06,16.75,14,5.56,3.5,13.250,16,14.63,0.175,13.38,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
16,300,0.0625,18.5,25.5,22.5,20,1.25,2.19,19,16,5.69,3.5,15.250,18.25,16.63,0.175,15.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,300,0.0625,21,28,24.75,24,1.25,2.31,21,18,6.19,3.88,17.250,20.75,18.69,0.175,17.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
20,300,0.0625,23,30.5,27,24,1.25,2.44,23.12,20,6.32,3.88,19.250,22.75,20.69,0.175,19.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
22,300,0.0625,25.25,33,29.25,24,1.5,2.5625,25.25,22,6.4375,3.875,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,300,0.0625,27.25,36,32,24,1.5,2.69,27.62,24,6.56,3.87,23.250,27,24.75,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,300,0.0625,29.5,38.25,34.5,28,1.625,3.0625,28.38,26,7.1875,4.125,25.250,27.75,26.5,0.175,25.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
28,300,0.0625,31.5,40.75,37,28,1.625,3.3125,30.5,28,7.6875,4.375,27.250,29.75,28.5,0.175,27.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
30,300,0.0625,33.75,43,39.25,28,1.75,3.5625,32.56,30,8.1875,4.625,29.250,31.75,30.5,0.175,29.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
32,300,0.0625,36,45.25,41.5,28,1.875,3.8125,34.69,32,8.6875,4.875,31.250,33.88,32.5,0.175,31.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
34,300,0.0625,38,47.5,43.5,28,1.875,3.9375,36.88,34,9.0625,5.125,33.250,35.88,34.5,0.175,33.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
36,300,0.0625,40.25,50,46,32,2,4.0625,39,36,9.4375,5.375,35.250,38.13,36.5,0.175,35.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
38,300,0.0625,40.5,46,43,32,1.5,4.1875,39.12,38,7.0625,2.875,37.250,40.13,38.5,0.175,37.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
40,300,0.0625,42.75,48.75,45.5,32,1.625,4.4375,41.25,40,7.5625,3.125,39.250,42.13,40.5,0.175,39.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
42,300,0.0625,44.75,50.75,47.5,32,1.625,4.625,43.25,42,7.8125,3.1875,41.250,44.25,42.5,0.175,41.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
44,300,0.0625,47,53.25,49.75,32,1.75,4.8125,45.25,44,8.0625,3.25,43.250,46.38,44.5,0.175,43.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
46,300,0.0625,49,55.75,52,28,1.875,5,47.38,46,8.4375,3.4375,45.250,48.38,46.5,0.175,45.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
48,300,0.0625,51.25,57.75,54,32,1.875,5.1875,49.38,48,8.75,3.5625,47.250,50.38,48.5,0.175,47.38,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
