NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,150,0.0625,3.625,6,4.75,4,0.625,0.69,3.06,2.38,2.44,1.75,2.067,3.38,2.75,0.175,2.19,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,150,0.0625,4.125,7,5.5,4,0.625,0.81,3.56,2.88,2.69,1.88,2.469,3.88,3.25,0.175,2.59,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3,150,0.0625,5,7.5,6,4,0.625,0.88,4.25,3.5,2.69,1.81,3.068,4.75,4,0.175,3.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,150,0.0625,5.5,8.5,7,8,0.625,0.88,4.81,4,2.75,1.87,3.548,,,,3.67,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
4,150,0.0625,6.188,9,7.5,8,0.625,0.88,5.31,4.5,2.94,2.06,4.026,5.88,5,0.175,4.15,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
5,150,0.0625,7.312,10,8.5,8,0.75,0.88,6.44,5.56,3.44,2.56,5.047,7,6.13,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,150,0.0625,8.5,11,9.5,8,0.75,0.94,7.56,6.63,3.44,2.50,6.065,8.25,7.19,0.175,6.19,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,150,0.0625,10.625,13.5,11.75,8,0.75,1.06,9.69,8.63,3.94,2.88,7.981,10.38,9.19,0.175,8.11,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,150,0.0625,12.75,16,14.25,12,0.875,1.12,12,10.75,3.94,2.82,10.020,12.5,11.31,0.175,10.15,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,
12,150,0.0625,15,19,17,12,0.875,1.19,14.38,12.75,4.44,3.25,12.000,14.75,13.38,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,150,0.0625,16.25,21,18.75,12,1,1.31,15.75,14,4.94,3.63,13.250,16,14.63,0.175,13.38,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
16,150,0.0625,18.5,23.5,21.25,16,1,1.38,18,16,4.94,3.56,15.250,18.25,16.63,0.175,15.38,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
18,150,0.0625,21,25,22.75,16,1.125,1.5,19.88,18,5.44,3.94,17.250,20.75,18.69,0.175,17.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
20,150,0.0625,23,27.5,25,20,1.125,1.62,22,20,5.62,4,19.250,22.75,20.69,0.175,19.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
22,150,0.0625,25.25,29.5,27.25,20,1.25,1.75,24.25,22,5.81,4.06,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,150,0.0625,27.25,32,29.5,20,1.25,1.81,26.12,24,5.94,4.13,23.250,27,24.75,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,150,0.0625,29.5,34.25,31.75,24,1.25,2.625,26.625,26,4.6875,2.0625,25.250,27.75,26.5,0.175,25.38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
28,150,0.0625,31.5,36.5,34,28,1.25,2.75,28.625,28,4.875,2.125,27.250,29.75,28.5,0.175,27.38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
30,150,0.0625,33.75,38.75,36,28,1.25,2.875,30.75,30,5.3125,2.4375,29.250,31.75,30.5,0.175,29.38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
32,150,0.0625,36,41.75,38.5,28,1.5,3.125,32.75,32,5.625,2.5,31.250,33.88,32.5,0.175,31.38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
34,150,0.0625,38,43.75,40.5,32,1.5,3.1875,34.75,34,5.8125,2.625,33.250,35.88,34.5,0.175,33.38,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
36,150,0.0625,40.25,46,42.75,32,1.5,3.5,36.75,36,6.125,2.625,35.250,38.13,36.5,0.175,35.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
38,150,0.0625,42.25,48.75,45.25,32,1.5,3.375,39,38,6.125,2.75,37.250,40.13,38.5,0.175,37.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
40,150,0.0625,44.25,50.75,47.25,36,1.5,3.5,41,40,6.375,2.875,39.250,42.13,40.5,0.175,39.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
42,150,0.0625,47,53,49.5,36,1.5,3.75,43,42,6.6875,2.9375,41.250,44.25,42.5,0.175,41.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
44,150,0.0625,49,55.25,51.75,40,1.5,3.9375,45,44,6.9375,3,43.250,46.38,44.5,0.175,43.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
46,150,0.0625,51,57.25,53.75,40,1.5,4,47.125,46,7.25,3.25,45.250,48.38,46.5,0.175,45.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
48,150,0.0625,53.5,59.5,56,44,1.5,4.1875,49.125,48,7.5,3.3125,47.250,50.38,48.5,0.175,47.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
