NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2500,0.25,3.625,9.25,6.75,8,1,2.00,3.75,2.38,5.00,3,2.067,3.38,2.31,0.175,2.19,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,2500,0.25,4.125,10.5,7.75,8,1.125,2.25,4.5,2.88,5.62,3.37,2.469,3.88,2.75,0.175,2.59,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2500,0.25,5,12,9,8,1.25,2.62,5.25,3.5,6.62,4,3.068,4.75,3.63,0.175,3.19,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,2500,0.25,5.5,,,,,,,4,,0,3.548,,,,3.67,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2500,0.25,6.188,14,10.75,8,1.5,3,6.5,4.5,7.5,4.5,4.026,5.88,4.63,0.175,4.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2500,0.25,7.312,16.5,12.75,8,1.75,3.62,8,5.56,9,5.38,5.047,7,5.63,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2500,0.25,8.5,19,14.5,8,2,4.25,9.25,6.63,10.75,6.50,6.065,8.25,6.75,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2500,0.25,10.625,21.75,17.25,12,2,5,12,8.63,12.5,7.5,7.981,10.13,8.5,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2500,0.25,12.75,26.5,21.25,12,2.5,6.5,14.75,10.75,16.5,10,10.020,12.25,10.63,0.175,10.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2500,0.25,15,30,24.38,12,2.75,7.25,17.38,12.75,18.25,11,12.000,14.5,12.5,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,13.250,,,,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,15.250,,,,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,17.250,,,,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,19.250,,,,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,23.250,,,,23.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,25.250,,,,25.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,27.250,,,,27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,29.250,,,,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,31.250,,,,31.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,33.250,,,,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,35.250,,,,35.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,37.250,,,,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,39.250,,,,39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,41.250,,,,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,43.250,,,,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,45.250,,,,45.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,47.250,,,,47.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
