NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1500,0.25,3.625,8.5,6.5,8,0.875,1.50,4.12,2.38,4.00,2.5,2.067,3.38,2.31,0.175,2.19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,1500,0.25,4.125,9.62,7.5,8,1,1.62,4.88,2.88,4.12,2.5,2.469,3.88,2.75,0.175,2.59,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1500,0.25,5,10.5,8,8,1.125,1.88,5.25,3.5,4.62,2.74,3.068,4.75,3.63,0.175,3.19,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,1500,0.25,5.5,,,,,,,4,,0,3.548,,,,3.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1500,0.25,6.188,12.25,9.5,8,1.25,2.12,6.38,4.5,4.88,2.76,4.026,5.88,4.63,0.175,4.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1500,0.25,7.312,14.75,11.5,8,1.5,2.88,7.75,5.56,6.12,3.24,5.047,7,5.63,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1500,0.25,8.5,15.5,12.5,12,1.375,3.25,9,6.63,6.75,3.50,6.065,8.25,6.75,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1500,0.25,10.625,19,15.5,12,1.625,3.62,11.5,8.63,8.38,4.76,7.981,10.13,8.5,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1500,0.25,12.75,23,19,12,1.875,4.25,14.5,10.75,10,5.75,10.020,12.25,10.5,0.175,10.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1500,0.25,15,26.5,22.5,16,2,4.88,17.75,12.75,11.12,6.24,12.000,14.5,12.75,0.175,12.13,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1500,0.25,16.25,29.5,25,16,2.25,5.25,19.5,14,11.75,6.5,13.250,15.75,14.25,0.175,13.38,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1500,0.25,18.5,32.5,27.75,16,2.5,5.75,21.75,16,12.25,6.5,15.250,18,16,0.175,15.38,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1500,0.25,21,36,30.5,16,2.75,6.38,23.5,18,12.88,6.5,17.250,20.5,18.25,0.175,17.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1500,0.25,23,38.75,32.75,16,3,7,25.25,20,14,7,19.250,22.5,20.25,0.175,19.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1500,0.25,25.25,,,,,,,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1500,0.25,27.25,46,39,16,3.5,8,30,24,16,8,23.250,26.75,24.25,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,25.250,,,,25.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,27.250,,,,27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,29.250,,,,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,31.250,,,,31.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,33.250,,,,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,35.250,,,,35.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,37.250,,,,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,39.250,,,,39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,41.250,,,,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,43.250,,,,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,45.250,,,,45.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,47.250,,,,47.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
